id,type,properties,geometry
50,Feature,"{'id': '956', 'modern': 'Weinheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.064377, 49.736097]}"
51,Feature,"{'id': '965', 'modern': 'Eppelsheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.1659632, 49.7033343]}"
52,Feature,"{'id': '973', 'modern': 'Pleitersheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.9544012, 49.8367486]}"
53,Feature,"{'id': '976', 'modern': 'Schwabenheim an der Selz', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.095288, 49.932416]}"
54,Feature,"{'id': '977', 'modern': 'Dromersheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.9660454, 49.9243715]}"
55,Feature,"{'id': '978', 'modern': 'Aspisheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.983853, 49.90726]}"
56,Feature,"{'id': '979', 'modern': 'Partenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.0758, 49.8822]}"
57,Feature,"{'id': '981', 'modern': 'Gau-Bischofsheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2725334, 49.914833]}"
58,Feature,"{'id': '984', 'modern': 'Wörrstadt', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.129248, 49.8424798]}"
59,Feature,"{'id': '985', 'modern': 'Köngernheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2459175, 49.8453866]}"
60,Feature,"{'id': '992', 'modern': 'Abenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.284925, 49.677192]}"
61,Feature,"{'id': '996', 'modern': 'Bechtolsheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.1907719, 49.802129]}"
62,Feature,"{'id': '1000', 'modern': 'Bubenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.0796, 49.9212]}"
63,Feature,"{'id': '1001', 'modern': 'Dalheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2952778, 49.8266667]}"
64,Feature,"{'id': '1004', 'modern': 'Gabsheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.17505, 49.827797]}"
65,Feature,"{'id': '1005', 'modern': 'Gau-Algesheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.991213, 49.968987]}"
66,Feature,"{'id': '1009', 'modern': 'Ockenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.970582, 49.943915]}"
67,Feature,"{'id': '1010', 'modern': 'Pfeddersheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.280619, 49.636771]}"
68,Feature,"{'id': '1012', 'modern': 'Undenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2178745, 49.8397369]}"
69,Feature,"{'id': '1026', 'modern': 'Albsheim an der Eis', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.1809083, 49.5821314]}"
70,Feature,"{'id': '1048', 'modern': 'Speyerdorf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.20392, 49.336725]}"
71,Feature,"{'id': '1094', 'modern': 'Nieder-Olm', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2028021, 49.9113863]}"
72,Feature,"{'id': '1095', 'modern': 'Ober-Olm', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.190956, 49.937601]}"
73,Feature,"{'id': '1124', 'modern': 'Traben-Trarbach', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.1224960775742, 49.952988323755]}"
74,Feature,"{'id': '1132', 'modern': 'Kenn', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.72585821897, 49.800454376]}"
75,Feature,"{'id': '1135', 'modern': 'Longuich', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [6.7646247, 49.8039688]}"
