id,type,properties,geometry,country
5469,Feature,"{'id': '43128', 'modern': 'Deir al-Balah', 'latin': 'Hilarion', 'greek': '', 'ancient': 1, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 200, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [34.351603, 31.418994]}",[]
5494,Feature,"{'id': '44330', 'modern': 'Ain-Fara', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 200, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.305402, 31.832348]}",[]
5495,Feature,"{'id': '44331', 'modern': ""Shepherds' Field"", 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.22971, 31.70739]}",[]
5496,Feature,"{'id': '44333', 'modern': 'Deir al-Quruntal', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.4313161, 31.8727061]}",[]
5514,Feature,"{'id': '21067', 'modern': 'Dranda', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 551, 'endyear': 0}","{'type': 'Point', 'coordinates': [41.162222, 42.874167]}",[]
5550,Feature,"{'id': '37249', 'modern': 'Khirbet Hureitun', 'latin': 'Chariton', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.235938, 31.65149]}",[]
5551,Feature,"{'id': '37250', 'modern': 'Deir Mar Jiryis', 'latin': 'Choziba', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 480, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.4117778, 31.8440757]}",[]
5552,Feature,"{'id': '37251', 'modern': ""Deir el Qal'a"", 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.051677, 32.064852]}",[]
5553,Feature,"{'id': '37252', 'modern': 'Khan el Ahmar', 'latin': 'Euthymios', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 420, 'endyear': 0}","{'type': 'Point', 'coordinates': [35.33627, 31.79219]}",[]
5554,Feature,"{'id': '37253', 'modern': 'Deir Hajla', 'latin': 'Gerasimos', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.501404, 31.820158]}",[]
5555,Feature,"{'id': '37254', 'modern': 'Khirbet Mird', 'latin': 'Hyrkania', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': -330, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.36587, 31.718968]}",[]
5556,Feature,"{'id': '37255', 'modern': 'Khirbet ed Deir', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.25142, 31.52711]}",[]
5557,Feature,"{'id': '37256', 'modern': 'Khirbet el Quneitira', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.179875, 31.46041]}",[]
5558,Feature,"{'id': '37257', 'modern': 'Khirbet Murasas (el-Murassas?)', 'latin': 'Martyrios', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.300317, 31.779181]}",[]
5559,Feature,"{'id': '37258', 'modern': 'Mar Saba', 'latin': 'Megiste Laura Saba', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 483, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.3311461, 31.7049404]}",[]
5560,Feature,"{'id': '37259', 'modern': 'Deir el Mukalik', 'latin': 'Theoktistos', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.385086, 31.776175]}",[]
5561,Feature,"{'id': '37260', 'modern': 'Deir Dosi', 'latin': 'Theodosios', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.2827437, 31.7211342]}",[]
5566,Feature,"{'id': '37265', 'modern': 'Ag. Trias', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [34.227391, 35.543053]}",[]
5567,Feature,"{'id': '37266', 'modern': 'Lysi', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 200, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [33.682065, 35.105849]}",[]
5569,Feature,"{'id': '37268', 'modern': 'Panagia Kanakaria', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [34.156296, 35.4776]}",[]
5570,Feature,"{'id': '37269', 'modern': 'Panagia tis Kyras', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [34.022515, 35.401657]}",[]
5571,Feature,"{'id': '37270', 'modern': 'Petrera', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [33.60224, 35.231408]}",[]
5676,Feature,"{'id': '37406', 'modern': 'Khirbet Jedora', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.268975, 32.512]}",[]
5786,Feature,"{'id': '37445', 'modern': 'Dort Oba', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '32', 'building': 0, 'accuracy': 2000, 'startyear': -550, 'endyear': -30}","{'type': 'Point', 'coordinates': [34.092742, 45.138663]}",[]
5793,Feature,"{'id': '37452', 'modern': 'Kulakovsky', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '32', 'building': 0, 'accuracy': 2000, 'startyear': -750, 'endyear': -330}","{'type': 'Point', 'coordinates': [33.785277, 44.692144]}",[]
5802,Feature,"{'id': '37461', 'modern': 'Talayevskiy', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '32', 'building': 0, 'accuracy': 2000, 'startyear': -550, 'endyear': -30}","{'type': 'Point', 'coordinates': [34.108329, 45.061614]}",[]
