id,type,properties,geometry,country
23,Feature,"{'id': '571', 'modern': 'Mommenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.268832, 49.882965]}",['DE']
24,Feature,"{'id': '572', 'modern': 'Hahnheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2352, 49.8608]}",['DE']
25,Feature,"{'id': '575', 'modern': 'Selzen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2540485, 49.8630731]}",['DE']
26,Feature,"{'id': '576', 'modern': 'Oppenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.357639, 49.855687]}",['DE']
27,Feature,"{'id': '577', 'modern': 'Dienheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.3497222, 49.8372222]}",['DE']
28,Feature,"{'id': '583', 'modern': 'Gimbsheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.3760287, 49.7783798]}",['DE']
29,Feature,"{'id': '584', 'modern': 'Alsheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.3403071, 49.7655728]}",['DE']
30,Feature,"{'id': '587', 'modern': 'Osthofen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.3226712, 49.7037801]}",['DE']
31,Feature,"{'id': '632', 'modern': 'Pompey', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.122699, 48.765715]}",['FR']
32,Feature,"{'id': '710', 'modern': 'Elgg', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.86782, 47.490105]}",['CH']
33,Feature,"{'id': '713', 'modern': 'Nagold', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.71207, 48.544109]}",['DE']
34,Feature,"{'id': '726', 'modern': 'Brenz', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [10.30303, 48.56633]}",['DE']
35,Feature,"{'id': '751', 'modern': 'Erling', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': -30, 'endyear': 300}","{'type': 'Point', 'coordinates': [11.2, 47.957]}",['DE']
36,Feature,"{'id': '760', 'modern': 'Leutstetten', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': -30, 'endyear': 300}","{'type': 'Point', 'coordinates': [11.3705597, 48.0186525]}",['DE']
37,Feature,"{'id': '785', 'modern': 'Heppenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.633718, 49.63939]}",['DE']
38,Feature,"{'id': '786', 'modern': 'Göllheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': -30, 'endyear': 300}","{'type': 'Point', 'coordinates': [8.0540863, 49.5940292]}",['DE']
39,Feature,"{'id': '788', 'modern': 'Quirnheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.125797, 49.584519]}",['DE']
40,Feature,"{'id': '808', 'modern': 'Mußbach', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.17003, 49.369875]}",['DE']
41,Feature,"{'id': '824', 'modern': 'Wies-Oppenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2997222, 49.6061111]}",['DE']
42,Feature,"{'id': '825', 'modern': 'Horchheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.320992, 49.610626]}",['DE']
43,Feature,"{'id': '827', 'modern': 'Dexheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.316973, 49.846297]}",['DE']
44,Feature,"{'id': '828', 'modern': 'Schwabsburg', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.31255, 49.86345]}",['DE']
45,Feature,"{'id': '829', 'modern': 'Lörzweiler', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.298439, 49.899801]}",['DE']
46,Feature,"{'id': '873', 'modern': 'Reimlingen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': -30, 'endyear': 300}","{'type': 'Point', 'coordinates': [10.51084, 48.81955]}",['DE']
47,Feature,"{'id': '945', 'modern': 'Frettenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2455975, 49.7600964]}",['DE']
